artist_name,artist_genre
Coldplay,"permanent wave, pop"
Radiohead,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock"
Red Hot Chili Peppers,"alternative rock, funk metal, funk rock, permanent wave, rock"
Rihanna,"barbadian pop, pop, urban contemporary"
Eminem,"detroit hip hop, hip hop, rap"
The Killers,"alternative rock, dance rock, modern rock, permanent wave, rock"
Kanye West,"chicago rap, hip hop, rap"
Nirvana,"grunge, permanent wave, rock"
Muse,"alternative rock, modern rock, permanent wave, rock"
Queen,"classic rock, glam rock, rock"
Foo Fighters,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock"
Linkin Park,"alternative metal, nu metal, post-grunge, rap metal, rock"
Lady Gaga,"art pop, dance pop, pop"
The Rolling Stones,"album rock, british invasion, classic rock, rock"
Daft Punk,"electro, filter house, rock"
Green Day,"modern rock, permanent wave, punk, rock"
Katy Perry,pop
The Beatles,"british invasion, classic rock, merseybeat, psychedelic rock, rock"
Oasis,"beatlesque, britpop, madchester, permanent wave, rock"
Gorillaz,"alternative hip hop, modern rock, rock"
Beyoncé,"pop, r&b"
Michael Jackson,"r&b, soul"
Maroon 5,pop
Arctic Monkeys,"garage rock, modern rock, permanent wave, rock, sheffield indie"
System Of A Down,"alternative metal, nu metal, rap metal, rock"
Artist Unknown,hip hop
Kings of Leon,"modern rock, rock"
Drake,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
David Bowie,"art rock, classic rock, glam rock, permanent wave, rock"
The black eyed peas karaok...,hip hop
The Strokes,"alternative rock, garage rock, modern rock, permanent wave, rock"
Britney Spears,"dance pop, pop"
Guns N' Roses,"glam metal, hard rock, rock"
Franz Ferdinand,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock"
The Doors,"acid rock, album rock, classic rock, hard rock, psychedelic rock, rock"
JAY-Z,"east coast hip hop, gangster rap, hip hop, pop rap, rap"
Madonna,"dance pop, pop"
Pink Floyd,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock"
Weezer,"alternative rock, modern power pop, modern rock, permanent wave, rock"
Snow Patrol,"irish rock, modern rock, neo mellow, permanent wave, pop rock"
blink-182,"alternative metal, modern rock, pop punk, punk, rock, socal pop punk"
The White Stripes,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock"
The Cure,"new wave, permanent wave, rock, uk post-punk"
Led Zeppelin,"album rock, classic rock, hard rock, rock"
Becky G,"latin pop, latin viral pop, rap latina, reggaeton, trap latino, urbano latino"
Aerosmith,"album rock, classic rock, hard rock, rock"
The Offspring,"alternative metal, permanent wave, post-grunge, punk, rock, skate punk, socal pop punk"
Metallica,"hard rock, metal, old school thrash, rock, thrash metal"
Richy Mitch & The Coal Miners,modern folk rock
All Artist Blue Squad PAN,hip hop
Lejwe La Motheo Artist Development,clap and tap
Rage Against The Machine,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock"
Death Cab for Cutie,"alternative rock, chamber pop, indie rock, indietronica, modern rock, seattle indie, washington indie"
Nickelback,"alternative metal, canadian rock, post-grunge"
Justin Timberlake,"dance pop, pop"
The Smashing Pumpkins,"alternative metal, alternative rock, grunge, permanent wave, rock, spacegrunge"
MGMT,"alternative rock, indie rock, indietronica, modern rock, rock"
